material_id,formula,elements,num_elements,space_group,dimensionality,c_length,c_a_ratio,2d_score,synthesis_score,formation_energy,hull_energy,cif_file,overall_score
generated_0061,NbSe2,"['Nb', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.935,0.042,generated_materials\cif_files\generated_0061.cif,0.749
generated_0024,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.912,0.08,generated_materials\cif_files\generated_0024.cif,0.7475999999999999
generated_0035,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.011,0.045,generated_materials\cif_files\generated_0035.cif,0.7475
generated_0032,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.952,0.069,generated_materials\cif_files\generated_0032.cif,0.7451000000000001
generated_0051,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.07,0.052,generated_materials\cif_files\generated_0051.cif,0.744
generated_0008,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.085,0.054,generated_materials\cif_files\generated_0008.cif,0.743
generated_0013,NbSe2,"['Nb', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.236,0.059,generated_materials\cif_files\generated_0013.cif,0.7405
generated_0066,WSe2,"['W', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.887,0.063,generated_materials\cif_files\generated_0066.cif,0.7385
generated_0062,TaS2,"['Ta', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.533,0.065,generated_materials\cif_files\generated_0062.cif,0.7375
generated_0004,TiC2,"['Ti', 'C']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.297,0.069,generated_materials\cif_files\generated_0004.cif,0.7355
generated_0089,MoS2,"['Mo', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.688,0.074,generated_materials\cif_files\generated_0089.cif,0.733
generated_0003,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.393,0.081,generated_materials\cif_files\generated_0003.cif,0.7295
generated_0076,TiC2,"['Ti', 'C']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.875,0.087,generated_materials\cif_files\generated_0076.cif,0.7265
